Date,Open,High,Low,Close,Adj Close,Volume
2020-07-31,101.680000,103.860001,100.239998,100.559998,88.069969,70172778
2020-08-03,100.720001,104.080002,99.599998,103.820000,90.925072,40276909
2020-08-04,104.519997,106.059998,103.639999,105.300003,92.221252,102952484
2020-08-05,106.000000,107.599998,105.320000,107.339996,94.007874,39314509
2020-08-06,106.419998,106.940002,104.360001,105.839996,92.694168,26960922
2020-08-07,105.160004,105.580002,103.010002,104.599998,91.608192,44275008
2020-08-10,106.260002,107.480003,105.339996,106.639999,93.394814,25747440
2020-08-11,107.019997,112.239998,106.879997,111.760002,97.878891,39001421
2020-08-12,112.300003,112.940002,111.160004,111.500000,97.651184,29669867
2020-08-13,110.500000,111.680000,108.080002,108.080002,94.655952,21609203
2020-08-14,108.320000,109.440002,105.540001,109.199997,95.636841,31089405
2020-08-17,108.660004,110.860001,107.919998,107.940002,94.533348,24990890
2020-08-18,107.300003,110.680000,106.519997,108.120003,94.690994,25067936
2020-08-19,107.500000,110.199997,107.059998,110.199997,96.512642,18545911
2020-08-20,107.980003,108.519997,106.540001,107.580002,94.218063,24819348
2020-08-21,107.400002,108.400002,106.139999,108.000000,94.585899,34233555
2020-08-24,108.739998,110.400002,106.180000,110.400002,96.687798,26568183
2020-08-25,111.040001,112.459999,108.998001,109.139999,95.584297,28228370
2020-08-26,109.379997,110.739998,108.260002,110.400002,96.687798,27591235
2020-08-27,109.760002,111.829002,109.680000,110.540001,96.810425,20808450
2020-08-28,111.279999,112.794998,110.599998,111.959999,98.054031,37493134
2020-09-01,110.419998,111.160004,105.860001,105.900002,92.746727,60998790
2020-09-02,106.040001,107.419998,103.180000,103.500000,90.644814,47192541
2020-09-03,104.260002,108.300003,103.945999,105.559998,92.448952,29996389
2020-09-04,105.040001,108.580002,104.940002,106.879997,93.604996,30751373
2020-09-07,107.599998,108.699997,106.260002,106.940002,93.657555,14729583
2020-09-08,106.980003,108.019997,103.599998,104.279999,91.327934,36782017
2020-09-09,103.019997,104.879997,102.360001,104.879997,91.853409,43584298
2020-09-10,103.800003,106.300003,102.559998,105.040001,91.993546,29812789
2020-09-11,104.980003,104.980003,102.584000,102.620003,89.874115,21647791
2020-09-14,103.400002,103.900002,102.199997,103.620003,90.749916,17394692
2020-09-15,103.220001,103.580002,102.220001,102.639999,89.891632,28600393
2020-09-16,102.400002,103.400002,100.540001,102.959999,90.171883,27509156
2020-09-17,101.080002,101.320000,99.000000,100.540001,88.052460,46856482
2020-09-18,99.660004,100.199997,97.419998,97.419998,85.319969,73544325
2020-09-21,96.040001,96.669998,88.900002,92.160004,80.713295,78895072
2020-09-22,92.750000,94.110001,91.400002,91.970001,80.546890,40473692
2020-09-23,93.190002,96.199997,92.246002,92.900002,81.361389,40643007
2020-09-24,90.769997,95.050003,90.739998,92.870003,81.335114,43704705
2020-09-25,94.239998,94.629997,91.129997,91.550003,80.179062,33180100
2020-09-28,93.500000,98.440002,92.910004,98.000000,85.827942,48500179
2020-09-29,97.110001,98.279999,96.309998,97.250000,85.171104,38484870
2020-09-30,96.580002,99.540001,95.848999,97.610001,85.486389,41223431
2020-10-01,98.839996,99.910004,96.900002,98.000000,85.827942,39991603
2020-10-02,97.480003,98.300003,96.489998,97.709999,85.573952,35973115
2020-10-05,99.699997,100.680000,98.080002,99.449997,87.097855,80935616
2020-10-06,100.879997,104.180000,99.820000,104.180000,91.240356,61172964
2020-10-07,103.839996,107.459999,103.419998,104.500000,91.520615,72284882
2020-10-08,105.440002,107.778999,104.419998,107.099998,93.797684,36922959
2020-10-09,107.940002,109.000000,106.540001,107.279999,93.955322,50394313
2020-10-12,107.279999,108.000000,105.419998,105.839996,92.694168,29455602
2020-10-13,106.440002,106.440002,101.720001,102.099998,89.418701,55347707
2020-10-14,101.839996,103.680000,100.820000,101.540001,88.928253,32678409
2020-10-15,100.500000,100.769997,97.980003,100.120003,87.684624,36727928
2020-10-16,101.199997,102.639999,99.000000,101.800003,89.155968,37486411
2020-10-19,102.500000,104.080002,101.120003,103.360001,90.522209,22865749
2020-10-20,102.339996,105.199997,102.339996,104.320000,91.362968,28477306
2020-10-21,104.919998,106.000000,102.639999,102.720001,89.961700,37940575
2020-10-22,101.379997,104.919998,100.660004,104.279999,91.327934,31440511
2020-10-23,108.500000,113.300003,106.540001,111.540001,97.686218,97495567
2020-10-26,110.540001,114.379997,106.540001,110.519997,96.792892,52191345
2020-10-27,112.620003,113.000000,106.599998,106.599998,93.359779,52849727
2020-10-28,104.459999,106.580002,101.160004,103.800003,90.907555,62752208
2020-10-29,104.440002,106.800003,102.080002,104.660004,91.660744,44813216
2020-10-30,104.220001,107.699997,104.000000,106.559998,93.324760,37873402
2020-11-02,107.019997,107.139999,104.622002,107.040001,93.745125,44537297
2020-11-03,108.220001,113.760002,108.220001,113.360001,99.280151,57652142
2020-11-04,111.839996,113.040001,108.519997,110.379997,96.670280,49682057
2020-11-05,110.680000,112.252998,106.760002,110.160004,96.477615,53515927
2020-11-06,111.059998,113.400002,110.000000,110.940002,97.160736,68836974
2020-11-09,112.040001,129.619995,111.660004,128.539993,112.574722,138499150
2020-11-10,129.139999,136.000000,127.620003,134.399994,117.706886,144498633
2020-11-11,134.080002,137.119995,131.460007,135.520004,118.687790,92506383
2020-11-12,133.479996,133.960007,129.639999,132.360001,115.920273,68867988
2020-11-13,131.220001,135.699997,129.679993,134.160004,117.496712,45650523
2020-11-16,136.119995,138.880005,135.539993,138.779999,121.542877,71349413
2020-11-17,139.880005,139.880005,134.996002,138.399994,121.210075,79501678
2020-11-18,137.559998,142.179993,135.820007,141.600006,124.012634,52441640
2020-11-19,136.100006,139.899994,136.100006,138.940002,121.683022,37442579
2020-11-20,138.179993,139.600006,137.399994,137.759995,120.649536,30600035
2020-11-23,139.279999,140.860001,138.240005,140.199997,122.786476,63641880
2020-11-24,142.000000,150.259995,141.320007,150.199997,131.544434,78845811
2020-11-25,152.500000,152.500000,141.720001,143.399994,125.589027,72137852
